reaction_time:0ship_height:500,[nan]
reaction_time:390ship_height:500,[0.87611618]
reaction_time:391ship_height:500,[0.88731113]
reaction_time:392ship_height:500,[0.88155035]
reaction_time:393ship_height:500,[0.87361544]
reaction_time:394ship_height:500,[0.87374544]
reaction_time:395ship_height:500,[0.87476999]
reaction_time:396ship_height:500,[0.88268626]
reaction_time:397ship_height:500,[0.87431054]
reaction_time:398ship_height:500,[0.87736311]
reaction_time:399ship_height:500,[0.85603589]
reaction_time:400ship_height:500,[0.86957487]
reaction_time:401ship_height:500,[0.86934107]
reaction_time:402ship_height:500,[0.87290909]
reaction_time:403ship_height:500,[0.87090332]
reaction_time:404ship_height:500,[0.87590443]
reaction_time:405ship_height:500,[0.86769575]
reaction_time:406ship_height:500,[0.86193927]
reaction_time:407ship_height:500,[0.87266618]
reaction_time:408ship_height:500,[0.85901813]
reaction_time:409ship_height:500,[0.86757123]
reaction_time:410ship_height:500,[0.86359555]
reaction_time:411ship_height:500,[0.85830273]
reaction_time:412ship_height:500,[0.86399538]
reaction_time:413ship_height:500,[0.85472687]
reaction_time:414ship_height:500,[0.86348723]
reaction_time:415ship_height:500,[0.8576746]
reaction_time:416ship_height:500,[0.85365033]
reaction_time:417ship_height:500,[0.85841946]
reaction_time:418ship_height:500,[0.85552169]
reaction_time:419ship_height:500,[0.85544828]
reaction_time:420ship_height:500,[0.86228688]
reaction_time:421ship_height:500,[0.84703097]
reaction_time:422ship_height:500,[0.85904481]
reaction_time:423ship_height:500,[0.8285977]
reaction_time:424ship_height:500,[0.85022823]
reaction_time:425ship_height:500,[0.84182859]
reaction_time:426ship_height:500,[0.84300285]
reaction_time:427ship_height:500,[0.83860108]
reaction_time:428ship_height:500,[0.83600812]
reaction_time:429ship_height:500,[0.82947344]
reaction_time:430ship_height:500,[0.83601068]
reaction_time:431ship_height:500,[0.84028927]
reaction_time:432ship_height:500,[0.83815962]
reaction_time:433ship_height:500,[0.83160852]
reaction_time:434ship_height:500,[0.83701536]
reaction_time:435ship_height:500,[0.83588159]
reaction_time:436ship_height:500,[0.84313455]
reaction_time:437ship_height:500,[0.83870839]
reaction_time:438ship_height:500,[0.82566186]
reaction_time:439ship_height:500,[0.83475089]
reaction_time:440ship_height:500,[0.83537632]
reaction_time:441ship_height:500,[0.83606192]
reaction_time:442ship_height:500,[0.83397632]
reaction_time:443ship_height:500,[0.83137823]
reaction_time:444ship_height:500,[0.82621101]
reaction_time:445ship_height:500,[0.82688695]
reaction_time:446ship_height:500,[0.81376824]
reaction_time:447ship_height:500,[0.81930873]
reaction_time:448ship_height:500,[0.8078372]
reaction_time:449ship_height:500,[0.81987741]
reaction_time:450ship_height:500,[0.8118776]
reaction_time:451ship_height:500,[0.81580621]
reaction_time:452ship_height:500,[0.81200069]
reaction_time:453ship_height:500,[0.80634727]
reaction_time:454ship_height:500,[0.81947678]
reaction_time:455ship_height:500,[0.81526365]
reaction_time:456ship_height:500,[0.80597619]
reaction_time:457ship_height:500,[0.81392432]
